Computer,Chemical,Power,Auto,Electronics
0.22816,-0.07205,0.0173,0.22266,0.08202
0.09134,0.02588,0.05646,0.01278,-0.03499
-0.01288,-0.04771,0.0228,0.00379,0.01662
-0.17196,0.06343,0,0.04101,-0.07496
0.16557,0.0367,0.0051,0.07576,-0.0081
-0.00789,0.01372,0.02244,0.06817,0.05446
-0.04909,0.0596,0.06583,-0.07143,-0.08607
0.22967,-0.02083,0.00812,-0.02564,0.01712
0.10117,0.00681,0.0236,0.12632,-0.0051
-0.1053,-0.05128,0.00865,0.16406,0.08367
-0.02767,0.0471,-0.02926,-0.05593,0.0489
0.00813,-0.01247,0.00893,0.01327,0.08498
0.05323,0.11894,-0.00885,0.15493,0.0979
0.05364,0.00197,-0.06917,-0.07317,-0.00382
-0.01818,-0.04479,-0.06473,-0.0864,-0.01546
-0.09556,0.04366,0.01384,-0.07952,0.03534
0.02459,0.08765,0.00259,0.03665,0.02402
-0.064,-0.0326,-0.01379,-0.03535,-0.02736
0.01393,0.05736,0.06993,0.01316,0.04604
0.10971,0.0868,0.02588,-0.0026,0.05501
-0.06464,0.05025,0.00645,-0.0599,-0.0035
0.01114,-0.0607,0.01603,0.08357,-0.03981
0.0161,-0.12925,0.04076,-0.00257,-0.03415
0.01188,0.06094,-0.06442,0.01856,0.00763
